"measurement.ID","sites.sitename"
1584,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1585,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1586,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1587,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1588,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1589,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1590,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1591,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1592,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1593,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1594,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1595,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1596,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1597,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1598,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1599,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1600,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1601,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1602,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1603,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1604,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1605,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1606,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1607,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1608,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1609,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1610,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1611,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1612,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1613,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1614,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1615,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1616,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1617,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1618,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1619,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1620,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1621,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1622,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1623,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1624,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1625,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1626,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1627,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1628,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1629,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1630,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1631,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1632,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1633,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1634,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1635,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1636,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1637,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1638,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1639,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1640,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1641,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1642,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1643,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1644,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1645,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1646,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1647,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1648,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1649,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1650,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1651,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1652,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1653,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1654,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1655,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1656,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1657,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
1658,"Biology of Forest Growth experimental plantation in Pierces Creek Forest"
21304,"BFG Plantation-C"
21305,"BFG Plantation-C"
21306,"BFG Plantation-C"
21307,"BFG Plantation-C"
21308,"BFG Plantation-C"
21309,"BFG Plantation-C"
21310,"BFG Plantation-C"
21311,"BFG Plantation-C"
21312,"BFG Plantation-C"
21313,"BFG Plantation-C"
21314,"BFG Plantation-C"
21315,"BFG Plantation-C"
21316,"BFG Plantation-C"
