"method.ID","method.citation","variable.name","method.category","method.notes"
"130","Norby_2002_nppo","BNPP_coarse root",NA,"Allometric relations"
"131","Norby_2002_nppo","BNPP_fine root",NA,"Soil cores, minirhizitrons"
"132","Norby_2002_nppo","NPP","sum of components","includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
"281","Yan_2006_eosr","R_soil_C",NA,"Chamber"
"313","Moncrieff_1999_amfs","R_soil_C",NA,"Chamber"
"328","Ehman_2002_aiio","R_het_soil_C",NA,"litter + fine root turnover (C-balance)"
"377","Fenn et al submitted","R_soil_C",NA,"Chamber"
"1012","Tang_2003_asce","R_soil_C","Profile",NA
"1015","Binkley_2006_ttsr","R_soil_het_C","Girdling",NA
"1016","Xu_2001_eria","R_soil_het_C","Other",NA
