"","Koeppen_name","Forest_type","age100","ANPP_0","ANPP_1","ANPP_2","ANPP_foliage","ANPP_folivory","ANPP_litterfall_0","ANPP_litterfall_1","ANPP_litterfall_2","ANPP_repro","ANPP_woody","ANPP_woody_branch","ANPP_woody_stem","biomass","biomass_ag","biomass_ag_foliage","biomass_ag_woody","biomass_root","biomass_root_coarse","biomass_root_fine","BNPP_root","BNPP_root_coarse","BNPP_root_fine","deadwood","deadwood_down","deadwood_standing","delta.agb","foliage_pN","GPP","GPP_cum","LAI","leaf_C2N","leaf_pC","leaf_pCa","leaf_pK","leaf_pMg","leaf_pN","leaf_pP","N.mineralization","NEE","NEE_cum","NEP","NPP_1","NPP_2","NPP_3","NPP_4","NPP_5","NPP_understory","NPP_woody","organic.layer","R_auto","R_auto_ag","R_auto_foliage","R_auto_root","R_auto_wood","R_eco","R_eco_cum","R_het_soil","R_soil","root_pC","root_pN","soil","soil_pC","stand.density","stem_pC","stem_pN","TBCF","total.ecosystem","total.ecosystem_2","woody.mortality_ag"
"1","boreal","broadleaf","< 100 years",0,0,13,11,0,0,0,2,0,11,1,0,12,38,9,4,14,7,7,8,3,7,0,5,6,0,0,36,0,0,0,0,0,0,0,0,0,0,37,0,0,8,7,0,0,1,7,0,7,3,0,0,0,0,34,0,2,4,0,0,6,0,0,0,0,0,0,0,0
"2","boreal","broadleaf","= 100 years",0,1,1,1,0,0,0,0,0,1,1,1,6,14,1,1,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","boreal","broadleaf","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","boreal","conifer","< 100 years",5,18,62,46,0,0,0,0,0,42,17,22,88,131,50,51,88,28,25,51,26,25,5,0,16,0,0,97,5,21,0,0,0,0,0,0,0,0,134,5,5,54,12,0,0,0,21,0,5,4,0,0,0,0,94,5,7,19,0,0,4,0,0,0,0,3,0,0,0
"5","boreal","conifer","= 100 years",3,8,31,29,0,0,0,0,0,26,7,10,61,261,23,18,60,18,15,25,13,21,1,1,5,0,0,56,0,11,0,0,0,0,0,0,0,0,64,1,0,26,11,0,0,1,13,0,2,4,0,0,0,0,53,0,11,11,0,0,5,0,1,0,0,1,4,0,0
"6","boreal","conifer","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","boreal","mix","< 100 years",9,0,14,19,0,0,0,0,0,14,0,5,5,19,0,0,0,0,0,13,9,12,3,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,21,0,0,19,15,0,0,0,10,0,5,3,0,0,0,0,4,0,13,10,0,0,0,0,0,0,0,0,0,0,0
"8","boreal","mix","= 100 years",0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","boreal","mix","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","boreal","other veg type","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","other biome","broadleaf","< 100 years",0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","other biome","broadleaf","= 100 years",0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","other biome","broadleaf","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"14","other biome","conifer","< 100 years",0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","other biome","conifer","= 100 years",0,0,0,0,0,0,0,0,0,0,0,0,32,36,1,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","other biome","conifer","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0
"17","other biome","other veg type","< 100 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","temperate","broadleaf","< 100 years",20,46,72,161,16,2,5,4,14,41,19,131,111,349,134,65,166,78,132,89,99,101,19,5,8,0,22,235,3,51,0,2,0,0,0,3,0,19,268,5,35,130,40,11,10,0,29,51,45,9,8,8,27,8,241,3,69,144,0,0,28,3,1,0,0,17,16,0,1
"19","temperate","broadleaf","= 100 years",2,36,39,39,1,65,20,3,18,26,31,58,72,136,32,23,83,18,24,42,31,37,23,0,4,3,0,44,0,6,2,0,0,0,0,0,0,0,45,0,14,42,14,8,0,0,12,13,7,8,0,2,4,3,47,0,21,22,0,0,21,0,5,0,0,0,0,0,9
"20","temperate","broadleaf","age unknown",0,0,6,3,0,0,2,0,1,1,0,0,5,49,5,5,9,0,4,5,0,0,0,0,0,0,0,25,0,2,0,2,0,0,0,2,0,16,34,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,25,0,10,11,0,0,0,1,13,0,0,0,0,0,0
"21","temperate","conifer","< 100 years",8,92,111,136,1,0,5,2,7,94,97,137,112,275,116,135,117,114,112,59,95,68,53,4,12,0,0,262,1,10,0,9,0,0,0,9,0,8,261,2,42,88,36,0,0,7,77,14,32,32,8,10,15,9,225,1,81,103,9,9,41,0,0,9,9,8,22,0,0
"22","temperate","conifer","= 100 years",0,30,53,45,1,0,0,1,13,34,43,31,165,254,45,53,163,44,30,26,29,17,29,0,13,0,0,62,0,0,0,0,0,0,0,0,0,0,84,1,21,24,10,0,0,0,25,0,18,15,1,2,1,1,50,0,23,21,0,0,20,0,0,0,0,1,15,0,0
"23","temperate","conifer","age unknown",0,3,13,7,0,0,0,0,0,7,1,1,1,31,7,5,1,1,2,11,1,1,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,18,0,0,11,4,0,0,0,2,0,2,0,0,0,0,0,16,0,1,1,0,0,2,0,3,0,0,0,0,0,0
"24","temperate","mix","< 100 years",1,2,6,5,0,0,0,2,1,0,2,2,1,102,4,7,7,2,3,1,2,1,1,0,1,1,0,28,0,0,0,0,0,0,0,0,0,0,54,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,28,0,2,7,0,0,0,0,0,0,0,1,0,0,0
"25","temperate","mix","= 100 years",0,11,3,6,0,7,3,1,0,0,1,5,21,26,4,4,25,1,1,2,1,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,4,0,0,0,0,1,0,0,0,0,0,0
"26","temperate","mix","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"27","temperate","other veg type","< 100 years",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","temperate","other veg type","= 100 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","temperate","other veg type","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","tropical","broadleaf","< 100 years",0,8,29,9,0,0,21,19,4,2,2,21,106,764,119,59,217,42,53,4,2,2,161,29,4,0,0,4,0,31,1,0,13,13,13,15,13,0,4,0,0,5,2,2,0,0,2,0,76,1,0,0,0,0,4,0,6,5,0,3,326,0,1,0,13,0,1,0,2
"31","tropical","broadleaf","= 100 years",10,104,17,89,17,286,119,13,52,16,28,418,43,475,18,22,63,3,22,23,23,44,48,24,14,29,0,45,0,0,34,0,0,0,0,0,0,0,41,0,3,27,1,0,2,1,1,54,14,11,0,9,0,9,33,0,13,20,0,0,12,0,14,0,0,0,6,6,69
"32","tropical","broadleaf","age unknown",0,0,0,13,2,4,23,3,13,0,2,7,0,36,1,0,5,1,1,0,1,1,26,9,7,0,0,20,0,1,7,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,5,2,1,0,1,0,1,19,0,0,5,0,0,1,0,7,0,0,0,1,1,4
"33","tropical","conifer","< 100 years",4,2,0,4,0,0,6,6,0,0,0,0,8,16,11,6,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"34","tropical","conifer","= 100 years",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","tropical","conifer","age unknown",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","tropical","mix","< 100 years",0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,2,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"37","tropical","mix","= 100 years",0,4,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
"38","tropical","mix","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","tropical","other veg type","< 100 years",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","tropical","other veg type","= 100 years",0,1,0,0,0,0,1,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","tropical","other veg type","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
